"Name","Surname","Gender","DoB","Faculty","UG.PG","FakePhone","FakeID","Age"
"Addisyn","Beard","F",1987-02-11,4,"PG","(989) 976-9913",37069610,38
"Keyon","Mckee","M",2005-08-18,8,"UG","(576) 546-1989",37444878,19
"Dulce","Summers","F",2002-04-05,1,"UG","(294) 359-5617",36939932,23
"Alonzo","Wiggins","M",2004-02-19,6,"UG","(646) 911-1433",34017260,21
"Litzy","Allison","F",1966-11-27,4,"PG","(633) 484-7374",41658435,58
"Ethen","Graves","M",2002-07-25,6,"UG","(874) 576-9334",42681086,22
"Jovany","Mathis","M",2002-02-07,3,"UG","(909) 282-5363",38754823,23
"Chance","Ortiz","M",2002-03-21,1,"UG","(706) 943-6229",37827278,23
"Athena","Pierce","F",2004-12-13,8,"UG","(864) 278-1428",32670721,20
"Rocco","Palmer","M",2003-09-24,2,"UG","(676) 405-7668",39306674,21
"Damon","Oliver","M",2005-03-20,10,"UG","(964) 816-6016",39811762,20
"Joyce","Mccarty","F",2004-12-24,1,"UG","(861) 340-8991",47425940,20
"Emanuel","Gentry","M",2005-04-14,6,"UG","(624) 876-5306",40723107,20
"Janet","Meza","F",1983-04-07,5,"UG","(239) 982-6835",41090813,42
"Julius","Dean","M",2003-10-31,3,"UG","(269) 791-4720",48056799,21
"Kaden","Elliott","M",1984-05-19,6,"UG","(401) 477-2369",35729928,41
"Kiersten","Valdez","F",2002-12-09,4,"UG","(458) 365-4542",47612624,22
"Diego","Waller","M",1965-11-11,9,"PG","(879) 714-3007",39779249,59
"Camren","Hebert","M",2002-11-06,2,"UG","(229) 876-7384",38710759,22
"Denisse","Guerra","F",2004-11-16,5,"UG","(675) 913-6209",40515235,20
"Esmeralda","Davies","F",1992-11-29,10,"PG","(979) 994-7569",35534978,32
"Alberto","Russo","M",2005-01-20,3,"UG","(494) 413-0118",38629167,20
"Haley","Duran","F",2000-12-01,3,"UG","(877) 885-5156",42594497,24
"Malia","Campbell","F",2004-04-21,9,"UG","(331) 978-2128",50894137,21
"Hadassah","Mcclure","F",2005-11-03,1,"UG","(965) 623-6475",39434000,19
"Callum","Davis","M",2000-09-21,7,"UG","(582) 966-8107",35304575,24
"Abbey","Flores","F",2002-01-15,4,"UG","(258) 309-0252",51013723,23
"Mackenzie","Higgins","F",1969-04-09,8,"PG","(356) 384-3263",41417560,56
"Alia","Winters","F",1985-01-04,1,"PG","(368) 403-2273",48166871,40
"Cohen","Gonzalez","M",2002-08-14,4,"UG","(723) 949-4863",34698623,22
"Xander","Daugherty","M",1972-11-20,6,"PG","(510) 553-6049",33437541,52
"Rene","Maddox","M",2005-12-10,6,"UG","(716) 345-4008",39177106,19
"Karson","Brooks","M",1977-11-03,7,"PG","(720) 718-2107",44729693,47
"Tiana","Weber","F",2003-05-03,5,"UG","(694) 311-8351",32975598,22
"Van","Kennedy","M",1977-06-08,5,"PG","(597) 851-4063",49802245,47
"Kai","Jimenez","M",2001-10-14,3,"UG","(266) 216-9538",49798597,23
"Clarissa","Shah","F",2001-12-01,7,"UG","(201) 851-5987",35267115,23
"Felipe","Shelton","M",1969-06-22,3,"PG","(367) 575-0454",36464473,55
"Devin","Mcclure","M",2001-07-30,4,"UG","(258) 592-8825",47257456,23
"Micheal","Lynch","M",1995-01-30,6,"PG","(565) 973-1701",39907133,30
"Audrey","Schmitt","F",1973-10-06,8,"PG","(904) 972-5777",35482503,51
"Melody","Howell","F",2005-03-29,3,"UG","(608) 425-1989",36965611,20
"Jessie","Gentry","F",2001-04-19,5,"UG","(519) 723-0610",34757897,24
"Frederick","Velez","M",1971-11-12,5,"PG","(427) 834-2689",34232697,53
"Francis","Ellison","M",2001-12-04,1,"UG","(711) 434-9459",46089053,23
"Amira","Wise","F",2001-01-14,1,"UG","(504) 269-9610",35585649,24
"Sean","Mcbride","M",2003-01-27,8,"UG","(496) 849-3659",48641477,22
"Kelsie","Thornton","F",1988-07-02,4,"PG","(777) 317-2956",46725640,36
"Jovany","Ingram","M",1998-10-14,8,"UG","(554) 496-1059",47953669,26
"Devan","Knapp","M",1989-02-23,4,"PG","(812) 609-7890",34225599,36
"Mary","Osborn","F",1974-04-08,8,"UG","(235) 865-6562",34583021,51
"Kamora","Keith","F",1987-09-28,4,"PG","(224) 386-0214",44617069,37
"Joaquin","Parker","",2000-07-04,1,"UG","(580) 332-0645",35460736,24
"Avery","Nicholson","F",1974-04-08,1,"PG","(910) 218-0554",37882597,51
"Triston","Woodward","M",2003-11-28,5,"UG","(388) 255-4642",42172167,21
"Mariam","Shields","F",2005-02-12,9,"UG","(328) 954-9524",36542750,20
"Cherish","Carroll","F",2002-04-01,8,"UG","(295) 717-2846",39208651,23
"Dane","Steele","M",2003-09-27,1,"UG","(629) 834-9412",40181423,21
"Presley","Hartman","F",2002-09-12,8,"UG","(437) 608-8981",49133489,22
"Kara","Dickson","F",2000-08-01,5,"UG","(287) 660-3061",35220202,24
"Julius","Stanton","M",2001-05-11,1,"UG","(388) 522-0078",34282934,24
"Sullivan","Hebert","M",1971-02-15,5,"UG","",37454817,54
"Bailey","Franco","M",2004-04-03,5,"UG","(490) 362-5033",41346737,21
"Shyanne","Day","F",2002-08-06,6,"UG","(807) 551-3328",48054290,22
"Hayley","Hendricks","F",2001-11-28,7,"UG","(808) 724-9157",45276580,23
"Caitlin","Spence","F",1990-04-15,5,"UG","(261) 941-7533",34304652,35
"Jameson","Armstrong","M",2001-12-18,5,"UG","",45017475,23
"Kale","Stone","M",1972-10-15,2,"UG","(233) 382-6557",33419042,52
"Greta","Sanford","F",1976-10-22,5,"PG","(883) 654-5431",39845127,48
"Milagros","Phillips","F",1968-09-30,5,"UG","(609) 430-0946",44568586,56
"Luciano","Gray","M",2005-06-22,10,"UG","(742) 984-3645",47910268,19
"Maximo","Bonilla","M",2005-05-07,1,"UG","(800) 920-9453",45895312,20
"Baron","Turner","M",1977-06-09,7,"UG","(521) 546-6359",33279672,47
"Noe","Hancock","M",1968-08-26,5,"PG","(464) 506-7933",39206331,56
"Rigoberto","Daugherty","M",2003-07-07,3,"UG","",37000283,21
"Riya","Melton","F",1999-12-16,3,"UG","(210) 568-4354",48654303,25
"Alana","Charles","F",2000-09-03,5,"UG","(860) 710-8862",45996875,24
"Fernando","Salinas","M",2004-07-22,10,"UG","(399) 826-3282",44082587,20
"Kyra","Lam","F",2001-09-07,1,"UG","(913) 756-1749",39668601,23
"Emery","Robbins","F",1962-04-30,3,"UG","(254) 864-0516",42994234,63
"Yair","Daniel","M",1985-12-20,2,"PG","(514) 959-9783",38567658,39
"Audrey","Ross","F",1976-02-17,8,"PG","(732) 396-4196",44662473,49
"Aliana","Good","F",1998-09-12,3,"UG","(504) 258-9982",45035075,26
"Anya","Powell","F",2006-01-13,5,"UG","(972) 663-6774",48017634,19
"Ellis","Bentley","M",1996-08-16,3,"UG","(864) 819-6211",41510839,28
"Martin","","M",2005-11-15,5,"UG","(920) 222-5735",47546463,19
"Maxim","Bray","M",2000-01-11,1,"UG","(709) 611-4748",47037756,25
"Brodie","Carney","M",2003-10-26,10,"UG","(662) 860-6295",49900507,21
"Simeon","Odonnell","M",2006-01-13,1,"UG","(456) 211-8948",41373619,19
"Sofia","Evans","F",2001-01-31,1,"UG","(778) 552-9394",50015568,24
"Meredith","Sheppard","F",2004-03-30,5,"UG","(490) 963-3299",50095681,21
"Sage","Doyle","F",1972-11-14,3,"PG","(379) 981-2514",35845248,52
"Damion","Christensen","M",2000-03-15,6,"UG","(837) 959-6595",NA,25
"Marianna","Maxwell","F",2005-04-18,3,"UG","(830) 689-7002",49222496,20
"London","Andrews","F",1962-08-29,3,"UG","(761) 309-0191",50715762,62
"Tristen","Rowland","M",2004-07-30,4,"UG","(808) 722-9060",49245819,20
"August","Ryan","M",1979-01-16,7,"PG","(469) 254-9273",32325574,46
"Augustus","Kennedy","M",2001-03-24,6,"UG","(658) 407-9305",41542107,24
"Andy","Cochran","M",2000-11-10,8,"UG","(471) 241-9104",47910268,24
"Taniya","Glover","F",2004-03-18,3,"UG","(575) 409-5818",41513018,21
"Timothy","Pittman","M",1984-10-17,10,"UG","(441) 571-9695",38550595,40
"Brayden","Moran","M",2001-01-19,8,"UG","(226) 890-6942",46945182,24
"Chanel","Tran","F",2001-05-15,4,"UG","(951) 349-9303",44804696,24
"Chloe","Baldwin","F",2004-06-15,7,"UG","(221) 320-3654",47664036,20
"Kaia","Mullen","F",1987-10-30,5,"UG","(755) 582-6235",39493861,37
"Luz","Flowers","F",2005-07-01,4,"UG","(320) 316-7247",43721153,19
"Alexus","Shea","F",2005-08-10,2,"UG","(695) 974-5421",46742933,19
"Mariah","Ortiz","F",2005-05-25,5,"UG","(236) 597-4457",32607426,20
"Angelina","Bush","F",2005-11-21,2,"UG","(635) 628-7579",42491020,19
"Norah","Flynn","F",2001-07-03,1,"","(478) 412-4145",48669928,23
"Imani","Miles","F",2001-04-29,5,"UG","(786) 776-4377",35272357,24
"Faith","Davila","F",1973-04-22,7,"UG","(809) 696-9817",43877658,52
"Jan","Brennan","M",1999-12-08,7,"UG","(588) 342-5803",46668387,25
"Ellie","Aguilar","F",1995-03-27,7,"UG","(924) 522-5940",32490612,30
"Zander","Fritz","M",2005-11-10,5,"UG","(757) 527-8364",49745369,19
"Dulce","Robbins","F",1989-08-18,8,"PG","(312) 860-6232",NA,35
"Kayley","Ali","F",1990-01-24,10,"PG","(388) 258-0763",32357337,35
"Makayla","Lawrence","F",2002-04-20,3,"UG","(701) 694-1648",36682206,23
"Ashtyn","Escobar","F",2001-09-07,3,"UG","(564) 371-8767",34602211,23
"Hillary","Odom","F",2001-07-27,10,"UG","(244) 248-1925",37540949,23
"Joaquin","Hurst","M",2000-03-21,6,"UG","(949) 471-1275",36800008,25
"Elisabeth","Haynes","F",1985-04-15,5,"UG","(504) 804-6003",34810363,40
"Veronica","Gay","F",2003-09-26,1,"UG","(442) 677-0863",48130298,21
"Hassan","Hill","M",1993-09-08,7,"PG","(712) 230-7729",41931682,31
"Valerie","Wallace","F",2000-03-27,8,"UG","(698) 441-8825",35642824,25
"Aidan","Ramos","M",1976-07-24,5,"PG","(273) 380-3973",38088118,48
"Kayla","Downs","F",1999-10-06,8,"UG","(518) 362-2000",39813013,25
"Keegan","Robertson","M",1999-12-25,1,"UG","(942) 808-6404",41345537,25
"Julio","Brennan","M",2003-02-19,3,"UG","(250) 714-1261",48263928,22
"Rory","Bean","F",2001-07-10,3,"UG","(559) 629-0037",32389555,23
"Zackery","Chaney","M",1990-06-07,8,"PG","(206) 811-8412",35777835,34
"Emilia","Duke","F",2003-02-13,5,"UG","(307) 779-4754",37116969,22
"Koen","Grant","M",2000-09-18,3,"UG","(270) 805-0483",50033779,24
"Paxton","Vega","M",2003-03-22,1,"UG","(399) 237-5068",NA,22
"Sara","Chase","F",2003-08-23,4,"UG","(966) 734-6496",45679740,21
"Briley","Duarte","F",2002-03-23,4,"UG","(576) 797-1500",42347764,23
"Jean","Baldwin","M",1977-11-14,5,"PG","(503) 339-4309",40667538,47
"Felicity","Peterson","F",1972-04-11,6,"PG","(483) 593-4086",39229150,53
"Avah","Hopkins","F",2004-04-06,2,"UG","(280) 805-8449",34734420,21
"Cole","Cantrell","M",2004-10-02,8,"","(888) 228-2781",34942977,20
"Jameson","Bridges","M",2002-08-27,3,"UG","(735) 272-0760",50428700,22
"Cayden","Moses","M",1963-09-30,4,"UG","(328) 234-5404",36934641,61
"Richard","Crane","M",2000-07-08,7,"UG","(388) 977-9647",42363058,24
"Laila","Caldwell","F",2005-11-03,3,"UG","(951) 844-9140",41091137,19
"Josiah","Sosa","M",2003-07-28,4,"UG","(862) 785-2823",41809495,21
"Reagan","Fritz","F",2004-10-31,8,"UG","(513) 914-4648",42521350,20
"Allan","Brady","M",1990-10-13,7,"PG","(224) 557-8852",41051413,34
"Leslie","Shannon","F",2001-03-07,10,"UG","(590) 848-5751",47123177,24
"Patience","Velez","F",2001-10-19,5,"UG","(451) 640-7629",35478712,23
"Zane","Lamb","M",2000-02-17,7,"UG","(789) 525-2951",49260171,25
"Brittany","Macdonald","F",2001-12-08,5,"UG","(876) 498-8768",33553589,23
"Sawyer","Davis","M",2003-07-20,4,"UG","(735) 759-7373",33348555,21
"Hailie","Perry","F",2004-11-11,5,"UG","(576) 957-9256",50470227,20
"Uriah","Pollard","M",2003-07-27,10,"UG","(598) 551-7262",47171138,21
"Denise","Orozco","F",1999-11-28,3,"UG","(356) 604-5196",36421756,25
"Tyler","Tate","",2002-03-26,4,"UG","(713) 748-6863",36577515,23
"Amir","Cortez","M",1982-11-19,2,"PG","(263) 234-9573",38445472,42
"Wayne","Henry","M",2004-05-15,7,"UG","(789) 318-5778",32621876,21
"Megan","Green","F",2005-06-30,3,"UG","(876) 665-5954",32254009,19
"Ava","Patterson","F",2001-01-28,1,"UG","(242) 202-7294",42751752,24
"Nylah","Braun","F",1992-08-31,1,"PG","(318) 836-0210",35259834,32
"Marlon","George","M",2004-06-13,1,"UG","(485) 454-3320",41588024,20
"Pablo","Ayala","M",2005-04-16,6,"UG","(852) 991-3612",49926449,20
"Elliot","Harmon","M",2003-08-24,1,"UG","(316) 829-3888",41753294,21
"Craig","Sawyer","M",1994-05-11,1,"PG","(268) 953-9139",33210799,31
"Bryant","Bradley","M",2002-02-28,2,"UG","(997) 774-3448",42903003,23
"Zackery","Bridges","M",2003-12-14,8,"UG","(779) 364-1612",47159968,21
"Arturo","Lane","M",2005-10-05,7,"UG","(820) 682-4378",45361525,19
"Sierra","Evans","F",1976-11-03,1,"UG","(777) 707-8903",32843076,48
"Peyton","Gould","M",1977-09-23,10,"UG","(259) 784-6522",47604796,47
"Scarlet","Taylor","F",1979-09-12,2,"PG","(984) 734-3938",38494508,45
"Jovan","Parsons","M",2005-08-22,6,"UG","(644) 966-2662",45600359,19
"Jaylin","Walsh","M",2002-10-13,5,"UG","(957) 308-0052",43241676,22
"Rogelio","Wolf","M",2001-11-05,4,"UG","(532) 224-9456",38935012,23
"Yahir","Duarte","",1998-12-24,3,"PG","(585) 786-3846",33315138,26
"Kaeden","Mack","M",2003-01-03,4,"UG","(460) 312-1622",35238272,22
"Charlie","Duran","M",2002-09-25,10,"UG","(782) 831-2659",43462362,22
"Yoselin","Meadows","F",1973-09-16,5,"PG","(665) 620-2162",38790663,51
"Araceli","Zhang","F",2000-01-25,1,"UG","(743) 290-1419",36199367,25
"Everett","Collier","M",1986-10-25,5,"UG","(471) 432-8094",35375428,38
"Lorena","Huffman","F",2004-03-14,4,"UG","(716) 535-6202",41930525,21
"Marcel","Heath","M",2004-08-22,3,"UG","(595) 952-3926",33026799,20
"Brenda","Mcfarland","F",2000-06-21,2,"UG","(597) 524-0224",37394077,24
"Arabella","Anthony","F",2001-02-09,7,"UG","(933) 730-4871",43960300,24
"Taylor","Lopez","F",1980-05-03,8,"UG","(686) 441-8611",43949210,45
"Harmony","Frey","F",1976-12-28,5,"PG","(870) 529-3149",47105676,48
"Cora","Fleming","F",2002-11-16,1,"UG","(571) 741-0853",50393559,22
"Amari","Anthony","F",2000-07-04,3,"UG","(975) 580-7799",37591402,24
"Averi","Downs","F",2002-06-29,3,"UG","(846) 760-5619",44064436,22
"Audrey","Edwards","F",1980-08-10,10,"PG","(885) 290-6985",51134745,44
"Genesis","Stark","F",1985-02-14,6,"UG","(252) 965-0761",34636054,40
"Bailey","Mclean","M",2003-02-23,1,"UG","(398) 722-8990",40530632,22
"Jacob","Buchanan","M",1996-01-25,7,"PG","(435) 852-1573",40994187,29
"Libby","Vincent","F",1979-08-25,10,"UG","(919) 639-1671",48631745,45
"Alexandra","Sweeney","F",1999-11-30,3,"UG","(556) 997-4524",48322332,25
"Jaylah","Estrada","F",2003-06-08,4,"UG","(409) 660-2997",36354402,21
"Liliana","Chung","F",1972-03-28,8,"PG","(369) 331-7639",34342893,53
"Faith","Brennan","F",2004-09-15,3,"UG","(300) 927-9681",32747859,20
"Deja","Lamb","F",2002-12-05,1,"UG","(940) 996-5424",49424894,22
"Lexie","Curry","F",2002-11-16,2,"UG","(600) 710-8825",43171131,22
"Erica","Rojas","F",2005-05-13,5,"UG","(820) 539-4301",38205322,20
"Stephen","Bush","M",2003-10-16,6,"UG","(581) 989-4791",40093291,21
"Hezekiah","Russell","M",2005-04-27,10,"UG","(479) 352-9163",32548092,20
"Colton","Alvarez","M",2002-11-25,2,"UG","(329) 546-3116",35803318,22
"Ezra","Hatfield","M",2003-04-12,6,"UG","(608) 837-2179",46847825,22
"Molly","Hinton","F",2001-09-23,5,"UG","(880) 216-3198",38814539,23
"Reid","Robbins","M",1993-11-15,8,"PG","(998) 314-5252",42757448,31
"Angelique","Gilbert","F",1994-09-01,3,"PG","(371) 334-1669",48185305,30
"Charlotte","Norris","F",1998-09-11,9,"PG","(494) 689-1670",43795692,26
"Dana","Branch","F",2000-07-19,3,"UG","(531) 734-0800",39192834,24
"Brendan","Valencia","M",2000-02-22,7,"UG","(781) 812-0563",49065126,25
"Payton","Mcpherson","F",2001-04-18,7,"UG","(869) 536-2594",45036435,24
"Kole","Mccarty","M",2004-01-26,6,"UG","(262) 896-4089",33462897,21
"Lilian","Conrad","F",1988-10-25,1,"","(985) 351-8656",35505965,36
"Georgia","Bryant","F",2001-11-18,10,"UG","(983) 983-8943",33399768,23
"Trace","Hines","M",2005-05-05,10,"UG","(477) 865-2476",49368499,20
"Elyse","Ortiz","F",2004-05-25,7,"UG","(560) 333-2209",49278599,21
"Jaylen","Ochoa","M",2002-03-26,1,"UG","(604) 684-1968",34398551,23
"Graham","Frye","M",2002-10-13,8,"UG","(328) 603-4530",48083062,22
"Jakayla","Stevens","F",2000-12-21,7,"UG","(568) 783-4323",40233105,24
"Tyree","Robbins","M",1998-07-05,1,"UG","(839) 205-6795",50175415,26
"Kyler","Bridges","M",1995-07-23,1,"UG","(648) 411-8655",32787230,29
"Yair","Humphrey","M",2002-07-24,3,"UG","(808) 290-0623",34755832,22
"Marcel","Bridges","M",1966-02-16,5,"PG","(907) 577-2840",32274286,59
"Dexter","Bates","M",2005-03-01,4,"UG","(397) 933-6406",36931370,20
"Pamela","Rhodes","F",2002-12-20,10,"UG","(919) 806-2224",48814462,22
"Reina","Brewer","F",2003-01-14,1,"UG","(444) 749-5049",33417197,22
"Kareem","Hicks","M",1966-05-20,5,"PG","(865) 374-5769",37213449,59
"Skyla","Ellison","F",1976-07-06,5,"UG","(263) 458-6048",50596359,48
"Cecilia","Underwood","F",2000-08-02,4,"UG","(968) 775-2637",49747156,24
"Zayden","Bryant","M",2003-08-27,2,"UG","(959) 984-0193",50317775,21
"Cynthia","Black","F",2000-10-08,4,"UG","(556) 850-1405",33537047,24
"Jewel","Mcguire","F",2005-07-03,2,"UG","(305) 389-8173",37566147,19
"Sincere","Singh","M",2000-03-07,4,"UG","(970) 340-6358",32179941,25
"Mathew","Hutchinson","M",1991-10-09,2,"PG","(867) 966-9643",49213300,33
"Jeremy","Parsons","M",2003-06-22,8,"UG","(525) 473-8632",41759260,21
"Kaiya","Perry","F",2005-11-16,1,"UG","(983) 962-7643",32573128,19
"Genesis","Curry","F",2003-10-03,3,"UG","(794) 959-3748",43385739,21
"Harry","Chen","M",1971-11-26,1,"PG","(558) 406-2702",32891173,53
"Cannon","Mata","M",2002-04-30,7,"UG","(296) 368-1968",42346222,23
"Brooklyn","Ali","F",2000-11-21,10,"UG","(921) 352-3365",35945279,24
"Autumn","Nunez","F",1990-01-13,8,"PG","(816) 640-3461",33189673,35
"Nadia","Hurst","F",2002-01-13,6,"UG","(315) 559-7245",48079758,23
"Lamar","Mccarthy","M",2001-03-16,2,"UG","(659) 332-2428",41975256,24
"Teagan","Summers","M",2001-09-18,1,"UG","(852) 329-8987",50148227,23
"Megan","Hansen","F",2005-04-25,6,"UG","(338) 414-4684",49141442,20
"Amy","Mann","F",2000-10-30,1,"UG","(642) 349-4836",37359995,24
"Phillip","Cochran","M",2000-09-22,6,"UG","(901) 346-4395",43838681,24
"Kadin","Calhoun","M",2004-11-11,7,"UG","(705) 848-9767",43882655,20
"Maryjane","House","",1981-09-10,8,"PG","(639) 223-0033",39007916,43
"Jaslyn","Morton","F",1975-05-27,2,"UG","(822) 674-3821",50132841,50
"Laurel","Suarez","F",2000-06-11,5,"UG","(850) 738-3903",41926089,24
"Adrianna","Conley","F",2005-10-08,2,"UG","(424) 730-9591",37897624,19
"Felicity","Zamora","F",2005-06-27,1,"UG","(978) 657-5966",50775663,19
"Melina","Harrison","F",2005-02-01,7,"UG","(810) 704-8590",44103556,20
"Sienna","Gibson","F",2001-12-12,2,"UG","(649) 665-3605",48602130,23
"Elsie","Galvan","F",2002-01-26,1,"UG","(577) 558-7865",32551673,23
"Freddy","Owens","M",1976-12-24,3,"UG","(785) 828-2837",50740309,48
"Sienna","Cantu","F",2004-10-23,6,"UG","(610) 222-3343",44711334,20
"Steve","Bird","M",2005-04-30,4,"UG","(595) 414-8388",39038154,20
"Savannah","Paul","F",2000-09-10,5,"UG","(278) 373-9297",42536410,24
"Ezra","Hartman","M",2002-07-14,6,"UG","(435) 669-5214",37314106,22
"Ian","Baxter","M",2000-02-23,7,"UG","(909) 302-8443",45590814,25
"Kylie","Rich","F",1964-05-14,8,"PG","(954) 822-9574",38157481,61
"Karsyn","Graves","F",2004-03-19,5,"UG","(240) 524-3363",41954714,21
"Destinee","Wilkinson","F",1986-12-02,5,"PG","(651) 969-6694",38294453,38
"Porter","Mcdaniel","M",2001-06-10,3,"UG","(677) 548-4793",36073235,23
"Hailie","Carrillo","F",2001-09-13,10,"UG","(287) 836-3241",37374569,23
"Terry","Pineda","M",1977-06-16,3,"PG","(899) 923-3748",35736710,47
"Cassandra","Crawford","F",1977-10-09,8,"PG","(278) 766-8569",43689260,47
"Natalee","Pittman","F",1999-11-26,1,"UG","(267) 273-3695",47783135,25
"Mylie","Payne","F",2000-12-27,5,"UG","(663) 898-8827",36030746,24
"Kyler","Mayer","M",2002-07-13,6,"UG","(926) 323-5786",44757082,22
"Taylor","Zavala","F",2005-11-28,5,"UG","(694) 360-1456",36699693,19
"Diamond","Kane","F",1991-01-02,10,"UG","(263) 308-3500",48923150,34
"Roman","Ellison","M",2004-05-24,10,"UG","(442) 965-5904",44886318,21
"Sanaa","Branch","F",2000-08-02,1,"UG","(238) 345-9894",49753600,24
"Jakobe","Lloyd","M",2000-05-09,4,"UG","(751) 584-2023",36340686,25
"Clarence","Silva","M",2001-11-26,1,"UG","(981) 557-6888",44356249,23
"Savanah","Oliver","F",2002-08-25,10,"UG","(776) 930-9836",51158184,22
"Jace","Norris","M",2000-08-12,8,"UG","(908) 610-6682",41747035,24
"Diana","Ewing","F",2001-03-19,2,"UG","(962) 944-9854",47494936,24
"Ignacio","Gross","M",1967-09-29,2,"PG","(202) 826-4957",37752797,57
"Olivia","Conner","F",1981-12-10,6,"PG","(560) 270-8133",48397472,43
"Sharon","Allison","F",2005-10-11,3,"UG","(939) 638-5654",45603733,19
"Genesis","Fleming","F",2001-05-10,1,"UG","(719) 559-3075",32727876,24
"Sincere","Blevins","M",1997-08-18,3,"PG","(724) 927-5545",36573336,27
"London","Rivas","F",2003-02-11,2,"UG","(363) 404-8541",45031482,22
"Talon","Gentry","M",2000-06-03,7,"UG","(521) 628-1983",35187686,24
"Yuliana","Mckee","F",2000-12-06,1,"UG","(522) 400-6305",41563466,24
"Albert","Mclaughlin","M",2001-01-11,5,"UG","(480) 374-9768",39441098,24
"Dangelo","Velazquez","M",2002-11-15,3,"UG","(557) 364-5907",36450911,22
"Jalen","Boone","M",2000-06-24,7,"UG","(296) 556-7109",48848483,24
"Jimmy","Roth","M",2000-04-02,10,"UG","(264) 776-4999",38045237,25
"Johanna","Fletcher","F",2000-02-11,1,"UG","(743) 686-8559",36453781,25
"Yamilet","Crosby","F",2001-09-22,5,"UG","(403) 221-8145",40136298,23
"Edith","Banks","F",2000-12-21,3,"UG","(782) 893-0066",39947092,24
"Alexa","Beltran","F",1999-12-21,5,"UG","(413) 869-6084",42884054,25
"Raphael","Ortega","M",2003-03-18,9,"UG","(703) 734-6052",37901977,22
"Austin","Bray","M",1962-12-17,7,"PG","(495) 474-4623",44965583,62
"Adriana","Mccann","F",2003-06-19,5,"UG","(298) 985-9629",37391901,21
"Makaila","Carroll","F",2000-06-24,3,"UG","(681) 810-8872",38107896,24
"Claire","Schmidt","F",1963-05-11,10,"PG","(753) 364-0179",44893994,62
"Arabella","Arellano","F",2001-12-14,8,"UG","(816) 914-2637",36649668,23
"Jaslene","Maldonado","F",2000-02-05,8,"UG","(639) 766-1026",34714184,25
"Benjamin","Woodward","M",2005-10-23,8,"UG","(897) 924-2330",44320829,19
"Skye","Nicholson","F",2004-05-22,1,"UG","(698) 529-1886",37511018,21
"Joselyn","Mccullough","F",1973-08-13,2,"UG","(847) 298-3032",32214056,51
"Camila","Mcgee","F",2002-06-24,4,"UG","(353) 787-2914",37456447,22
"Alisson","Best","F",2001-12-16,4,"UG","(834) 952-5366",48341126,23
"Deangelo","Carlson","M",2005-11-12,7,"UG","(688) 886-4434",35936285,19
"Krista","Pugh","F",2002-12-17,5,"UG","(727) 369-6627",37479395,22
"Cynthia","Hart","F",2001-03-04,5,"UG","(405) 435-0895",47872981,24
"Melissa","Huynh","F",2005-05-08,3,"UG","(214) 702-4125",47890824,20
"Bridget","Williams","F",2004-06-07,5,"UG","(759) 756-0741",45783618,20
"Monique","Jones","F",2002-09-05,6,"UG","(358) 337-2746",49270146,22
"Ariella","Barnes","F",2001-08-10,7,"UG","(810) 882-3777",40891687,23
"Dante","Turner","M",2001-12-22,6,"UG","(816) 492-5523",32462571,23
"Camden","Chavez","M",1977-03-02,4,"PG","",39015798,48
"Colten","Knapp","M",1984-05-12,3,"PG","(906) 430-7286",48033170,41
"Wade","Ramsey","M",2000-08-16,10,"UG","(904) 229-9048",41486582,24
"Julio","Baldwin","M",2002-12-30,3,"UG","(933) 349-5869",49388715,22
"Antonio","Cummings","M",2000-05-27,8,"UG","(374) 256-6132",46965119,25
"Nicholas","Holden","M",2001-11-06,2,"UG","(805) 255-9608",47846369,23
"Allison","Wagner","F",1990-01-30,1,"PG","(578) 357-5640",50891159,35
"Lainey","Mejia","F",2005-02-05,7,"UG","(343) 598-7040",36692071,20
"Angeline","Wilkerson","F",2001-04-13,2,"UG","(700) 271-9248",39192454,24
"Ximena","Casey","F",2000-01-01,5,"UG","(621) 671-2268",32955447,25
"Heath","Bauer","M",2005-04-20,2,"UG","(609) 699-5740",38909879,20
"Danna","Lawson","F",1962-11-18,3,"PG","(788) 247-2909",45741125,62
"Abbey","Rodgers","F",2006-01-30,1,"UG","(735) 299-3413",38719267,19
"Karissa","Meza","F",2004-05-22,8,"UG","(896) 704-8267",48807958,21
"Karson","Rivera","M",2001-07-21,6,"UG","(245) 467-8299",48582273,23
"Jaylon","Camacho","M",2002-12-10,6,"UG","(917) 978-2684",41377540,22
"Jadiel","Klein","M",1977-06-15,4,"PG","(318) 778-9394",50057955,47
"Abigayle","Sampson","F",1987-11-03,4,"UG","(984) 390-6386",42447190,37
"Hayden","Collier","M",1962-02-09,4,"PG","(731) 485-0654",35476087,63
"Kash","Parks","M",2002-02-20,8,"UG","(779) 837-5559",48408200,23
"Nathen","Welch","M",2003-01-31,4,"UG","(719) 523-2675",40998391,22
"Londyn","Campbell","F",2001-05-21,2,"UG","(766) 362-8666",48617552,24
"Titus","Mendoza","M",2000-04-12,10,"UG","(804) 348-7272",45924935,25
"Jayson","Cannon","M",2004-02-27,6,"UG","(241) 861-6574",37515922,21
"Jaidyn","Coleman","M",1965-05-06,6,"UG","(446) 592-3886",40804886,60
"Dangelo","Keith","M",2001-10-20,1,"UG","(306) 841-1223",35253758,23
